distribution,strategy,method,noise_ratio,mean_sw_pvalue,mean_phat,n_replicates
AdditiveGaussian,0,IRLS,0,NA,13.554064908717317,4
AdditiveGaussian,0,IRLS,0.05,NA,13.554064908717317,4
AdditiveGaussian,0,IRLS,0.1,NA,13.554064908717317,4
AdditiveGaussian,0,MLE,0,NA,13.554064908717317,4
AdditiveGaussian,0,MLE,0.05,NA,13.554064908717317,4
AdditiveGaussian,0,MLE,0.1,NA,13.554064908717317,4
AdditiveGaussian,1,IRLS,0,NA,13.554064908717317,4
AdditiveGaussian,1,IRLS,0.05,NA,13.554064908717317,4
AdditiveGaussian,1,IRLS,0.1,NA,13.554064908717317,4
AdditiveGaussian,1,MLE,0,NA,13.554064908717317,4
AdditiveGaussian,1,MLE,0.05,NA,13.554064908717317,4
AdditiveGaussian,1,MLE,0.1,NA,13.554064908717317,4
MultiplicativeLogNormal,0,IRLS,0,NA,13.554064908717317,4
MultiplicativeLogNormal,0,IRLS,0.05,NA,13.554064908717317,4
MultiplicativeLogNormal,0,IRLS,0.1,NA,13.554064908717317,4
MultiplicativeLogNormal,0,MLE,0,NA,13.554064908717317,4
MultiplicativeLogNormal,0,MLE,0.05,NA,13.554064908717317,4
MultiplicativeLogNormal,0,MLE,0.1,NA,13.554064908717317,4
MultiplicativeLogNormal,1,IRLS,0,NA,13.554064908717317,4
MultiplicativeLogNormal,1,IRLS,0.05,NA,13.554064908717317,4
MultiplicativeLogNormal,1,IRLS,0.1,NA,13.554064908717317,4
MultiplicativeLogNormal,1,MLE,0,NA,13.554064908717317,4
MultiplicativeLogNormal,1,MLE,0.05,NA,13.554064908717317,4
MultiplicativeLogNormal,1,MLE,0.1,NA,13.554064908717317,4
